GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016
48255,"Karnes County, Texas",14861,14961,14859,14711,14820,15275,15254,430,138,1057,919,289,74,215
48257,"Kaufman County, Texas",103902,105298,106664,108474,111192,114472,118350,14986,3855,9272,5417,10811,411,10400
48259,"Kendall County, Texas",33651,34525,35766,37461,38830,40452,42540,9121,57,2172,2115,8749,400,8349
48261,"Kenedy County, Texas",415,437,440,426,414,412,404,-9,15,24,9,-31,35,-66
48263,"Kent County, Texas",809,817,836,796,769,770,769,-39,-29,51,80,-3,0,-3
48265,"Kerr County, Texas",49650,49628,49751,49834,50426,51011,51504,1879,-1230,3213,4443,2858,86,2772
48267,"Kimble County, Texas",4587,4597,4541,4466,4439,4394,4423,-182,-61,257,318,-107,1,-108
48269,"King County, Texas",288,258,272,275,264,285,289,3,5,12,7,-6,0,-6
48271,"Kinney County, Texas",3595,3603,3626,3609,3510,3556,3590,-8,-22,203,225,26,114,-88
48273,"Kleberg County, Texas",32057,32058,32114,32063,31946,31570,31690,-371,1421,2955,1534,-1815,729,-2544
48275,"Knox County, Texas",3723,3740,3761,3764,3851,3851,3806,87,-6,329,335,104,9,95
48277,"Lamar County, Texas",49818,49945,49837,49278,49586,49636,49791,2,346,4185,3839,-399,109,-508
48279,"Lamb County, Texas",13999,14094,13917,13722,13547,13342,13275,-702,279,1233,954,-984,31,-1015
48281,"Lampasas County, Texas",19756,19950,20117,20197,20204,20505,20760,1082,261,1466,1205,761,255,506
48283,"La Salle County, Texas",6901,6995,7141,7429,7469,7638,7613,727,308,618,310,394,93,301
48285,"Lavaca County, Texas",19246,19216,19439,19525,19676,19821,19809,546,-125,1394,1519,674,15,659
48287,"Lee County, Texas",16604,16604,16553,16587,16672,16902,17055,445,265,1265,1000,199,-43,242
48289,"Leon County, Texas",16744,16838,16748,16668,16793,17102,17299,498,-66,1302,1368,542,22,520
48291,"Liberty County, Texas",75839,76057,76425,76973,78192,79696,81704,6063,2061,6689,4628,3901,299,3602
48293,"Limestone County, Texas",23465,23557,23639,23362,23457,23421,23468,82,324,1936,1612,-171,222,-393
48295,"Lipscomb County, Texas",3284,3345,3457,3484,3555,3553,3487,185,128,290,162,59,34,25
48297,"Live Oak County, Texas",11547,11532,11683,11849,12075,12219,12056,528,49,789,740,495,48,447
48299,"Llano County, Texas",19342,18948,19102,19359,19457,19838,20362,1061,-859,994,1853,1787,79,1708
48301,"Loving County, Texas",83,95,81,103,87,115,113,31,3,9,6,28,0,28
48303,"Lubbock County, Texas",280315,283470,286241,289972,295051,299008,303137,24240,11051,25548,14497,12700,2500,10200
48305,"Lynn County, Texas",5903,5881,5773,5694,5743,5695,5711,-204,157,456,299,-355,-8,-347
48307,"McCulloch County, Texas",8228,8276,8273,8271,8177,8315,8172,-111,-127,581,708,17,-9,26
48309,"McLennan County, Texas",235941,237784,239385,241432,243014,245203,247934,13028,9026,21869,12843,4003,1467,2536
48311,"McMullen County, Texas",713,702,735,763,799,825,804,97,5,57,52,98,10,88
48313,"Madison County, Texas",13743,13735,13715,13786,13809,13916,13987,320,192,972,780,118,134,-16
48315,"Marion County, Texas",10498,10440,10317,10234,10114,10142,10147,-389,-392,610,1002,-23,19,-42
48317,"Martin County, Texas",4815,4912,5004,5298,5505,5723,5723,924,345,595,250,575,116,459
48319,"Mason County, Texas",4016,4027,4042,4091,4062,4015,4111,99,-39,227,266,148,58,90
48321,"Matagorda County, Texas",36704,36701,36560,36513,36497,36840,37187,485,1068,3341,2273,-505,76,-581
48323,"Maverick County, Texas",54489,55274,55696,56415,56915,57440,57685,3427,4575,6867,2292,-1184,644,-1828
48325,"Medina County, Texas",46129,46519,46811,47271,47848,48385,49283,3277,992,3432,2440,2230,51,2179
48327,"Menard County, Texas",2236,2223,2227,2152,2154,2159,2123,-119,-85,116,201,-25,12,-37
48329,"Midland County, Texas",136976,140061,147139,152052,156059,161272,162565,25693,10065,16586,6521,15491,1184,14307
48331,"Milam County, Texas",24687,24628,24138,24156,24210,24484,24871,118,191,1965,1774,-61,129,-190
48333,"Mills County, Texas",4951,4870,4830,4874,4859,4883,4907,-29,-116,278,394,79,13,66
48335,"Mitchell County, Texas",9415,9395,9320,9001,9073,8860,8720,-683,8,604,596,-689,0,-689
48337,"Montague County, Texas",19713,19742,19470,19383,19386,19269,19414,-306,-236,1436,1672,-15,81,-96
48339,"Montgomery County, Texas",459319,471591,484674,498951,517985,536434,556203,100453,21620,42104,20484,76465,8641,67824
48341,"Moore County, Texas",22001,22094,22413,22203,22146,22048,22120,216,1758,2619,861,-1531,1324,-2855
48343,"Morris County, Texas",12915,12808,12743,12747,12684,12497,12593,-341,-57,967,1024,-276,60,-336
48345,"Motley County, Texas",1206,1214,1196,1193,1151,1142,1160,-45,-50,52,102,5,0,5
48347,"Nacogdoches County, Texas",64667,65647,65854,65199,65278,65641,65806,1282,2059,5587,3528,-852,748,-1600
48349,"Navarro County, Texas",47859,48088,48095,48022,47990,48255,48523,683,1197,4365,3168,-583,53,-636
48351,"Newton County, Texas",14430,14488,14320,14212,14147,14007,14003,-442,-97,881,978,-335,43,-378
48353,"Nolan County, Texas",15245,15123,14881,15057,15102,15050,14993,-224,182,1292,1110,-434,42,-476
48355,"Nueces County, Texas",340314,343190,347816,352728,356325,360118,361350,21127,13311,30706,17395,8230,4052,4178
