district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
WESTHOFF ISD,62905,62905,34259,92443,132929,0,66770,0,0,0,0,0,0,0,0,0,0,0,1316965,14834666,12536892,12188031
MEYERSVILLE ISD,62906,62906,86943,514200,314621,484002,505178,393887,164841,95942,90780,0,0,0,0,0,0,0,0,0,0,0
SPUR ISD,63903,63903,448715,866126,557430,76396,1671986,1184613,318882,796469,353292,1132146,0,127026,639221,800976,891810,317440,0,0,0,0
CARRIZO SPRINGS CISD,64903,64903,818771,2087870,2672809,180176,0,0,0,0,0,0,0,0,0,0,0,0,0,19344559,49771815,46079572
RAMIREZ CSD,66005,66005,22479,76224,33183,0,0,15591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENAVIDES ISD,66901,66901,359412,1251603,411674,1177205,1082307,912681,576799,217561,185379,302183,0,0,0,178018,0,0,0,0,0,0
FREER ISD,66903,66903,413256,1896997,0,1395524,1228719,1454705,19796,184557,0,185122,0,0,0,0,0,0,0,0,0,0
CISCO ISD,67902,67902,1112770,855953,2529169,1756259,1263251,1185471,812980,257927,198914,0,0,0,0,0,2384,67430,75755,181768,236424,285572
ECTOR COUNTY ISD,68901,68901,10274862,24539347,16838803,11265382,6129617,5103419,0,0,0,0,0,0,0,0,0,0,0,276478,965131,0
ROCKSPRINGS ISD,69901,69901,299716,1715524,1401813,1040640,1196330,1133972,737391,270786,0,639750,0,460214,533599,265370,436589,337468,161172,0,12587,386193
NUECES CANYON CISD,69902,69902,190369,585598,518503,18220,0,175509,0,0,0,0,0,0,0,0,0,33321,41850,27222,30507,39307
WAXAHACHIE ISD,70912,70912,4647850,8141271,9392277,3784832,4890950,4755013,852402,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WAY ISD,72901,72901,103941,133465,85952,0,80167,76923,0,42577,0,0,0,0,0,13527,4598,7148,6965,8267,3227,0
BLUFF DALE ISD,72904,72904,134631,206110,178484,144055,213003,196488,162380,84557,12924,96343,700536,532104,679312,491609,549300,476812,402245,336020,456896,416614
HUCKABAY ISD,72908,72908,204211,246673,303107,187199,118158,176869,60162,0,0,0,0,0,0,0,0,0,0,0,0,0
LINGLEVILLE ISD,72909,72909,159324,281586,112503,0,813552,386416,233746,115652,24561,0,0,0,0,0,3820,0,323,0,0,0
MORGAN MILL ISD,72910,72910,78567,201867,28539,115372,190450,147588,0,38460,21315,0,0,1016,6989,15810,13796,12506,10018,15139,12907,11547
WESTPHALIA ISD,73904,73904,68231,126758,180031,83071,76230,76625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLATONIA ISD,75901,75901,334107,793915,640409,335084,220598,214588,0,0,0,0,0,0,0,0,0,0,0,0,57769,240092
LA GRANGE ISD,75902,75902,1802336,5023855,4592695,2831629,2401010,2383847,246175,690339,482090,249431,0,0,392732,0,0,0,0,0,0,0
SCHULENBURG ISD,75903,75903,579919,955741,1016730,282286,254533,201554,0,0,0,0,0,0,0,0,0,10862,20274,18397,21766,0
FAYETTEVILLE ISD,75906,75906,239046,536212,535439,367947,206735,312770,14227,94810,21506,0,531750,334351,429513,131924,65781,315751,123659,81740,53144,0
ROUND TOP-CARMINE ISD,75908,75908,237304,488019,487287,556436,372489,533062,93473,157890,355873,274198,2131570,1761258,1868315,1518157,1312698,1288805,1194090,1171627,1073241,827965
CROWELL ISD,78901,78901,242046,601913,404790,180087,120415,75064,0,0,0,0,0,0,0,0,0,0,0,0,0,52206
LAMAR CISD,79901,79901,7352447,21122116,28322250,11711975,16900661,14581005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAFFORD MSD,79910,79910,2230327,3332149,3577258,2206411,3144092,2389660,254989,0,0,0,5717246,3934889,4778711,1812548,1611518,1739971,266306,0,0,0
MOUNT VERNON ISD,80901,80901,1483132,2848563,2976431,1930593,2488565,2130970,872704,827646,521584,455444,0,114050,619691,48828,60406,59896,52265,53466,59088,59156
FAIRFIELD ISD,81902,81902,1657049,4068123,3363613,2673594,3734354,4192165,2364040,1774836,1419840,2482997,17397811,13287476,14643714,13070788,11672058,9092750,6592284,6131785,5911169,4525250
TEAGUE ISD,81904,81904,1006195,4171789,2639850,2093378,4646254,3591248,2586077,3984486,1778715,2118093,15793305,10912064,11884554,12540248,9669987,7031243,4872827,2622869,625585,401762
